date,treatment,plant_ID,stem_height_cm,leaf_length,start_weight_mg,weight_after_mg,weight_increase_mg,weight_relative_mg
10.05.2023,R,R41,14,41,0.725733333,6.85,6.124266667,8.438728642
10.05.2023,R,R42,14.1,42.5,0.725733333,5.318,4.592266667,6.327760426
10.05.2023,R,R43,11.5,35.7,0.725733333,3.096,2.370266667,3.266029763
10.05.2023,R,R44,12,37.6,0.725733333,7.764,7.038266667,9.698144406
10.05.2023,R,R47,11.6,36.4,0.725733333,6.603,5.877266667,8.098383245
10.05.2023,R,R48,13,39.5,0.725733333,4.853,4.127266667,5.687029212
10.05.2023,R,R50,11.5,38.7,0.725733333,2.405,1.679266667,2.313889399
10.05.2023,R,R51,14.6,38.5,0.725733333,NA,NA,NA
10.05.2023,R,R53,13.3,36.5,0.725733333,NA,NA,NA
10.05.2023,T,T41,13.1,35.9,1.380066667,7.437,6.056933333,4.388870103
10.05.2023,T,T42,12.9,43.4,1.380066667,12.59,11.20993333,8.122747693
10.05.2023,T,T43,13.1,38.6,1.380066667,7.357,5.976933333,4.330901889
10.05.2023,T,T44,12.7,38,1.380066667,9.991,8.610933333,6.239505338
10.05.2023,T,T47,15.2,47,1.380066667,5.314,3.933933333,2.850538621
10.05.2023,T,T48,13.9,42.3,1.380066667,5.76,4.379933333,3.173711415
10.05.2023,T,T49,12.8,42.1,1.380066667,6.971,5.590933333,4.051205256
10.05.2023,T,T50,13.3,42.3,1.380066667,7.191,5.810933333,4.210617845
10.05.2023,T,T53,11.9,31.6,1.380066667,13.339,11.95893333,8.665475098
10.05.2023,T,T54,14.3,43.2,1.380066667,4.952,3.571933333,2.588232453
10.05.2023,M,M42,12.2,33.6,1.214066667,10.288,9.073933333,7.473999231
10.05.2023,M,M43,13.6,44.1,1.214066667,12.585,11.37093333,9.36598759
10.05.2023,M,M44,13.6,43.5,1.214066667,8.436,7.221933333,5.948547581
10.05.2023,M,M45,10.2,35.9,1.214066667,5.505,4.290933333,3.534347372
10.05.2023,M,M46,14.6,41.9,1.214066667,3.715,2.500933333,2.059963758
10.05.2023,M,M48,13.1,36.7,1.214066667,6.423,5.208933333,4.290483774
10.05.2023,M,M50,10.3,28.1,1.214066667,7.461,6.246933333,5.145461534
10.05.2023,M,M51,11.2,31.8,1.214066667,5.273,4.058933333,3.343254077
10.05.2023,M,M53,12.4,38.3,1.214066667,4.429,3.214933333,2.648069848
08.21.2023,T,T3,13,40.3,0.425,NA,NA,NA
08.21.2023,T,T6,15.7,40.1,0.425,2.537,2.112,4.969411765
08.21.2023,T,T9,14.4,34.2,0.425,1.51,1.085,2.552941176
08.21.2023,T,T12,13,42.3,0.425,2.752,2.327,5.475294118
08.21.2023,T,T15,14.1,40.2,0.425,1.614,1.189,2.797647059
08.21.2023,T,T17,14.7,39.8,0.425,2.522,2.097,4.934117647
08.21.2023,T,T18,18.7,48.2,0.425,NA,NA,NA
08.21.2023,T,T19,17.9,32.8,0.425,NA,NA,NA
08.21.2023,T,T20,15.8,36.9,0.425,3.418,2.993,7.042352941
08.21.2023,R,R1,13.7,34,0.57,4.444,3.874,6.796491228
08.21.2023,R,R2,14.7,37.3,0.57,3.555,2.985,5.236842105
08.21.2023,R,R5,13.2,36.4,0.57,5.615,5.045,8.850877193
08.21.2023,R,R7,13.9,41.5,0.57,4.456,3.886,6.81754386
08.21.2023,R,R8,12.8,35.1,0.57,5.397,4.827,8.468421053
08.21.2023,R,R11,12.5,36.8,0.57,4.717,4.147,7.275438596
08.21.2023,R,R12,13.8,39.2,0.57,4.917,4.347,7.626315789
08.21.2023,R,R16,13.8,39.8,0.57,3.069,2.499,4.384210526
08.21.2023,R,R17,15.3,44.8,0.57,2.117,1.547,2.714035088
08.21.2023,R,R18,14.4,36.6,0.57,4.846,4.276,7.501754386
08.21.2023,R,R23,15.2,36.7,0.57,2.624,2.054,3.603508772
08.21.2023,R,R25,13.4,38.7,0.57,5.519,4.949,8.68245614
08.21.2023,M,M2,14.2,37.8,0.645,7.337,6.692,10.3751938
08.21.2024,M,M9,12.3,35.7,0.645,NA,NA,NA
08.21.2023,M,M11,15.9,43,0.645,1.145,0.5,0.775193798
08.21.2023,M,M12,14.5,38.4,0.645,7.261,6.616,10.25736434
08.21.2023,M,M14,14,36,0.645,6.994,6.349,9.843410853
08.21.2023,M,M16,11.7,36.2,0.645,NA,NA,NA
08.21.2023,M,M17,11.2,33.4,0.645,6.052,5.407,8.382945736
08.21.2023,M,M18,13.5,34.5,0.645,9.112,8.467,13.12713178
08.21.2023,M,M19,11,32.6,0.645,5.804,5.159,7.998449612
08.21.2023,M,M20,12.6,36.9,0.645,8.524,7.879,12.21550388
08.21.2023,M,M25,13.2,30.5,0.645,4.864,4.219,6.541085271